Country code,Country name,KOF Globalisation Index
ABW,Aruba,43.2631
AFG,Afghanistan,29.91049
AGO,Angola,43.28614
ALB,Albania,56.80893
ANT,Netherlands Antilles,
ARE,United Arab Emirates,76.02047
ARG,Argentina,58.38496
ARM,Armenia,53.44877
ATG,Antigua and Barbuda,50.86988
AUS,Australia,82.92748
AUT,Austria,90.4847
AZE,Azerbaijan,56.55465
BDI,Burundi,32.12408
BEL,Belgium,91.61062
BEN,Benin,41.79371
BFA,Burkina Faso,42.67771
BGD,Bangladesh,41.60788
BGR,Bulgaria,71.38219
BHR,Bahrain,70.58575
BHS,Bahamas,53.86763
BIH,Bosnia and Herzegovina,67.12745
BLR,Belarus,59.85101
BLZ,Belize,48.92008
BMU,Bermuda,37.23427
BOL,Bolivia,53.14201
BRA,Brazil,59.77725
BRB,Barbados,57.20786
BRN,Brunei Darussalam,65.69025
BTN,Bhutan,29.17258
BVT,Bouvet Island,44.508
BWA,Botswana,
CAF,Central African Republic,35.61642
CAN,Canada,85.63131
CHE,Switzerland,85.73827
CHL,Chile,72.4102
CHN,China,60.49677
CIV,Cote d'Ivoire,50.08788
CMR,Cameroon,43.58649
COD,Democratic Republic of the Congo,42.04782
COG,Congo,46.61969
COL,Colombia,59.28598
COM,Comoros,31.31086
CPV,Cape Verde,44.76518
CRI,Costa Rica,62.03513
CUB,Cuba,50.82341
CYM,Cayman Islands,33.50956
CYP,Cyprus,85.26644
CZE,Czech Republic,83.96529
DEU,Germany,79.47028
DJI,Djibouti,49.5382
DMA,Dominica,40.09499
DNK,Denmark,87.42873
DOM,Dominican Republic,61.22426
DZA,Algeria,49.3281
ECU,Ecuador,54.46207
EGY,Egypt,57.19662
ERI,Eritrea,27.02888
ESP,Spain,84.66222
EST,Estonia,79.38129
ETH,Ethiopia,36.66047
FIN,Finland,85.87317
FJI,Fiji,56.66788
FRA,France,82.76177
FRO,Faroe Islands,35.95007
FSM,"Micronesia, Federated States of",
GAB,Gabon,47.9832
GBR,United Kingdom,83.72201
GEO,Georgia,62.8599
GHA,Ghana,53.37933
GIN,Guinea,43.19064
GMB,Gambia,52.59916
GNB,Guinea-Bissau,37.88516
GNQ,Equatorial Guinea,27.70495
GRC,Greece,80.29285
GRD,Grenada,54.91945
GTM,Guatemala,60.65087
GUY,Guyana,50.30634
HKG,Hong Kong,
HND,Honduras,58.98933
HRV,Croatia,74.92342
HTI,Haiti,40.11191
HUN,Hungary,85.91345
IDN,Indonesia,56.40586
IND,India,50.40975
IRL,Ireland,92.16653
IRN,Iran (Islamic Republic of),41.2672
IRQ,Iraq,41.27122
ISL,Iceland,68.65964
ISR,Israel,73.01049
ITA,Italy,80.30646
JAM,Jamaica,61.32899
JOR,Jordan,69.46084
JPN,Japan,65.00383
KAZ,Kazakhstan,57.45072
KEN,Kenya,46.67899
KGZ,Kyrgyzstan,56.70199
KHM,Cambodia,49.03725
KIR,Kiribati,26.19753
KNA,Saint Kitts and Nevis,40.0605
KOR,"Korea, Republic of",64.78587
KWT,Kuwait,70.49442
LAO,Lao People's Democratic Republic,27.0701
LBN,Lebanon,65.81509
LBR,Liberia,31.60898
LBY,Libyan Arab Jamahiriya,43.25103
LCA,Saint Lucia,47.074
LIE,Liechtenstein,
LKA,Sri Lanka,51.40304
LSO,Lesotho,45.64465
LTU,Lithuania,73.27156
LUX,Luxembourg,84.57073
LVA,Latvia,70.17036
MAC,Macau,42.11942
MAR,Morocco,64.56124
MCO,Monaco,
MDA,Republic of Moldova,64.12
MDG,Madagascar,39.54576
MDV,Maldives,37.58883
MEX,Mexico,60.77963
MHL,Marshall Islands,
MKD,The former Yugoslav Republic of Macedonia,59.90367
MLI,Mali,46.6534
MLT,Malta,75.95054
MMR,Burma,32.05581
MNE,Montenegro,67.27262
MNG,Mongolia,55.72155
MOZ,Mozambique,46.43153
MRT,Mauritania,45.60811
MSR,Montserrat,
MUS,Mauritius,65.71413
MWI,Malawi,41.39381
MYS,Malaysia,79.55222
NAM,Namibia,54.04972
NCL,New Caledonia,42.92268
NER,Niger,40.78003
NGA,Nigeria,56.47899
NIC,Nicaragua,55.34722
NLD,Netherlands,91.32848
NOR,Norway,82.82842
NPL,Nepal,38.70168
NZL,New Zealand,78.81849
OMN,Oman,60.4858
PAK,Pakistan,50.28623
PAN,Panama,67.89027
PER,Peru,65.72687
PHL,Philippines,57.40229
PLW,Palau,46.03249
PNG,Papua New Guinea,51.02139
POL,Poland,79.52262
PRI,Puerto Rico,
PRK,"Korea, Democratic People's Republic of",
PRT,Portugal,87.01119
PRY,Paraguay,57.52851
PSE,Palestine,34.94235
PYF,French Polynesia,43.82712
QAT,Qatar,72.8588
ROU,Romania,72.24204
RUS,Russia,65.41658
RWA,Rwanda,41.64137
SAU,Saudi Arabia,67.69257
SDN,Sudan,31.69874
SEN,Senegal,51.00981
SGP,Singapore,88.62971
SLB,Solomon Islands,25.43318
SLE,Sierra Leone,44.18973
SLV,El Salvador,61.35805
SMR,San Marino,
SOM,Somalia,24.03338
SRB,Serbia,63.60609
STP,Sao Tome and Principe,33.82424
SUR,Suriname,50.76128
SVK,Slovakia,83.55458
SVN,Slovenia,76.85661
SWE,Sweden,87.3896
SWZ,Swaziland,48.70113
SYC,Seychelles,48.63281
SYR,Syrian Arab Republic,44.66874
TCD,Chad,38.04422
TGO,Togo,48.90072
THA,Thailand,65.33724
TJK,Tajikistan,45.0045
TKM,Turkmenistan,38.32127
TLS,Timor-Leste,37.93549
TON,Tonga,32.02502
TTO,Trinidad and Tobago,62.51502
TUN,Tunisia,59.19986
TUR,Turkey,68.20014
TWN,Taiwan,
TZA,United Republic of Tanzania,38.39126
UGA,Uganda,45.38159
UKR,Ukraine,68.85237
URY,Uruguay,66.03601
USA,United States,74.93912
UZB,Uzbekistan,40.09541
VCT,Saint Vincent and the Grenadines,42.226
VEN,Venezuela,51.63002
VNM,Viet Nam,31.58671
VUT,Vanuatu,53.00045
WLF,Wallis and Futuna Islands,48.57824
YEM,Yemen,48.61435
ZAF,South Africa,65.23311
ZMB,Zambia,52.15624
ZWE,Zimbabwe,50.53848
